date,close
2009-07-03,4443.054
2009-07-06,4435.521
2009-07-07,4476.946
2009-07-08,4494.119
2009-07-09,4606.12
2009-07-10,4647.145
2009-07-13,4726.38
2009-07-14,4815.502
2009-07-15,4793.456
2009-07-16,4765.277
2009-07-17,4757.141
2009-07-20,4805.796
2009-07-21,4747.849
2009-07-22,4800.351
2009-07-23,4852.468
2009-07-24,4791.919
2009-07-27,4876.995
2009-07-28,4954.376
2009-07-29,4711.68
2009-07-30,4741.64
2009-07-31,4844.623
2009-08-03,5003.478
2009-08-04,5104.208
2009-08-05,5184.854
2009-08-06,5088.63
2009-08-07,4935.444
2009-08-10,4953.579
2009-08-11,5032.454
2009-08-12,4839.358
2009-08-13,4801.93
2009-08-14,4572.477
2009-08-17,4307.801
2009-08-18,4383.309
2009-08-19,4254.458
2009-08-20,4395.555
2009-08-21,4518.738
2009-08-24,4589.418
2009-08-25,4513.856
2009-08-26,4659.365
2009-08-27,4744.83
2009-08-28,4672.491
2009-08-31,4415.194
2009-09-01,4382.902
2009-09-02,4377.417
2009-09-03,4547.841
2009-09-04,4645.325
2009-09-07,4791.376
2009-09-08,4851.988
2009-09-09,4797.322
2009-09-10,4753.716
2009-09-11,4811.497
2009-09-14,4938.94
2009-09-15,4940.52
2009-09-16,4896.639
2009-09-17,4962.284
2009-09-18,4831.88
2009-09-21,4888.933
2009-09-22,4853.302
2009-09-23,4709.947
2009-09-24,4652.587
2009-09-25,4657.38
2009-09-28,4575.535
2009-09-29,4509.756
2009-09-30,4544.327
2009-10-09,4721.018
2009-10-12,4756.024
2009-10-13,4787.951
2009-10-14,4772.766
2009-10-15,4719.332
2009-10-16,4737.257
2009-10-19,4833.926
2009-10-20,4971.003
2009-10-21,4893.573
2009-10-22,4914.96
2009-10-23,4958.455
2009-10-26,4945.546
2009-10-27,4832.702
2009-10-28,4892.278
2009-10-29,4847.287
2009-10-30,4919.368
2009-11-02,5071.139
2009-11-03,5144.746
2009-11-04,5221.61
2009-11-05,5239.155
2009-11-06,5203.965
2009-11-09,5263.887
2009-11-10,5317.328
2009-11-11,5353.864
2009-11-12,5423.72
2009-11-13,5506.037
2009-11-16,5623.979
2009-11-17,5626.028
2009-11-18,5682.429
2009-11-19,5715.559
2009-11-20,5734.404
2009-11-23,5913.721
2009-11-24,5644.46
2009-11-25,5854.496
2009-11-26,5556.764
2009-11-27,5443.099
2009-11-30,5781.714
2009-12-01,5932.463
2009-12-02,5925.205
2009-12-03,5968.064
2009-12-04,5815.359
2009-12-07,5938.362
2009-12-08,5879.025
2009-12-09,5812.729
2009-12-10,5896.087
2009-12-11,5928.923
2009-12-14,5882.477
2009-12-15,5895.825
2009-12-16,5836.839
2009-12-17,5651.635
2009-12-18,5473.43
2009-12-21,5592.104
2009-12-22,5478.491
2009-12-23,5593.848
2009-12-24,5789.137
